SYSLOG_096_merged.LOG    |17.12 14:20:32.231000 FSP-140D-1-TCOMexe <2015-12-17T06:28:29.985669Z> 59E DBG/TCOM/CCHH, SCCPCH: [ commonPhysicalChannelId: 4 sCCPCHFrameOffset: 65535 sccpchOffset: 30 ]
SYSLOG_096_merged.LOG    |17.12 14:20:32.231000 FSP-140D-1-TCOMexe <2015-12-17T06:28:29.985711Z> 59E DBG/TCOM/CCHH, SCCPCH: [ tfcs.ctfc: 0 1 2 3 4 6  ]
SYSLOG_096_merged.LOG    |17.12 14:20:32.231000 FSP-140D-1-TCOMexe <2015-12-17T06:28:29.985810Z> 59E DBG/TCOM/CCHH, FACH: [ commonTransportChannelId: 7 bindingId: 1051328512 maxFACHPower: 0 toAWS: 25 toAWE: 10 transportLayerAddress: 18.5.12.10 ]
SYSLOG_096_merged.LOG    |17.12 14:20:32.231000 FSP-140D-1-TCOMexe <2015-12-17T06:28:29.985877Z> 59E DBG/TCOM/CCHH, FACH: [ commonTransportChannelId: 10 bindingId: 1051262976 maxFACHPower: 0 toAWS: 25 toAWE: 10 transportLayerAddress: 18.5.12.10 ]
SYSLOG_096_merged.LOG    |17.12 14:20:32.231000 FSP-140D-1-TCOMexe <2015-12-17T06:28:29.985943Z> 59E DBG/TCOM/CCHH, PCH: [ commonTransportChannelId: 5 bindingId: 1051394048 pchPower: 0 toAWS: 25 toAWE: 10 transportLayerAddress: 18.5.12.10
SYSLOG_096_merged.LOG    |17.12 14:20:32.241000 FSP-140D-1-TCOMexe <2015-12-17T06:28:29.985973Z> 59E DBG/TCOM/CCHH, PICH: [ commonPhysicalChannelId: 8 pichPower: -8 ]
SYSLOG_096_merged.LOG    |17.12 14:20:32.241000 FSP-140D-1-TCOMexe <2015-12-17T06:28:29.986004Z> 59E INF/TCOM/CCHH, TC_CCHH_CTCH_SETUP_REQ_MSG queued, cellId: 3679
SYSLOG_096_merged.LOG    |17.12 14:20:32.241000 FSP-140D-1-TCOMexe <2015-12-17T06:28:30.000629Z> 59E INF/TCOM/CCHH, TC_DMGR_RACH_ACTIVATION_RESP_MSG from 0x1011016F, size: 12 cellId: 3679 status: 0 (EStatus_NoError) cause: 0 (ECause_NoCause)
SYSLOG_096_merged.LOG    |17.12 14:20:32.241000 FSP-140D-1-TCOMexe <2015-12-17T06:28:30.000756Z> 59E INF/TCOM/CCHH, CCHH_CMEAS_RACH_RESOURCE_INFO_IND_MSG to 0x140D0158, size: 92 cellId: 3679 rachId: 1 prachId: 2 numOfWSPAddress: 1 rachInfoNature: 1 (ERachInfoNature_Activated)
SYSLOG_096_merged.LOG    |17.12 14:20:32.241000 FSP-140D-1-TCOMexe <2015-12-17T06:28:30.001454Z> 59E DBG/TCOM/CCHH, RACH: [ l1AichId: 3 wSPaddress: 0x14820250 ]
SYSLOG_096_merged.LOG    |17.12 14:20:32.241000 FSP-140D-1-TCOMexe <2015-12-17T06:28:30.001824Z> 5A7 INF/TCOM/CM, CCHH_CMEAS_RACH_RESOURCE_INFO_IND_MSG received, cellId: 3679, rachId: 1, prachId: 2, rachInfoNature: 1 (Activated), rachFound: false, nbrOfRachMeasurements: 0, board: 0x14, cpu: 0x82, sfn: 2056
SYSLOG_096_merged.LOG    |17.12 14:20:32.241000 FSP-140D-1-TCOMexe <2015-12-17T06:28:30.001896Z> 59E INF/TCOM/CCHH, TC_DMGR_RACH_ACTIVATION_RESP_MSG: RACH activation finished for cellId: 3679
SYSLOG_096_merged.LOG    |17.12 14:20:32.252000 FSP-140D-1-TCOMexe <2015-12-17T06:28:30.001958Z> 59E INF/TCOM/CCHH, TC_CCHH_CTCH_SETUP_REQ_MSG from 0x140D016D, size: 2764 cellId: 3679 channelToBeConfChoice: 0 (ECommonPhysicalChannelToBeConfigChoice_SecondaryCCPCH) configGenerationId: 0 transactionId: 17418
SYSLOG_096_merged.LOG    |17.12 14:20:32.252000 FSP-140D-1-TCOMexe <2015-12-17T06:28:30.001995Z> 59E DBG/TCOM/CCHH, SCCPCH: [ commonPhysicalChannelId: 4 sCCPCHFrameOffset: 65535 sccpchOffset: 30 ]
SYSLOG_096_merged.LOG    |17.12 14:20:32.252000 FSP-140D-1-TCOMexe <2015-12-17T06:28:30.002037Z> 59E DBG/TCOM/CCHH, SCCPCH: [ tfcs.ctfc: 0 1 2 3 4 6  ]
SYSLOG_096_merged.LOG    |17.12 14:20:32.252000 FSP-140D-1-TCOMexe <2015-12-17T06:28:30.002128Z> 59E DBG/TCOM/CCHH, FACH: [ commonTransportChannelId: 7 bindingId: 1051328512 maxFACHPower: 0 toAWS: 25 toAWE: 10 transportLayerAddress: 18.5.12.10 ]
SYSLOG_096_merged.LOG    |17.12 14:20:32.252000 FSP-140D-1-TCOMexe <2015-12-17T06:28:30.002194Z> 59E DBG/TCOM/CCHH, FACH: [ commonTransportChannelId: 10 bindingId: 1051262976 maxFACHPower: 0 toAWS: 25 toAWE: 10 transportLayerAddress: 18.5.12.10 ]
